Col1,Col2,Col3,Col4,Col5,Col6,Class
6,Chevrolet,31,Male,679,76960,Rich
8,BMW,51,Male,883,89304,Rich
7,Honda,45,Male,911,77018,Upper Middle Class
8,BMW,59,Female,1675,26160,Middle Class
10,Chevrolet,44,Male,1040,82055,Middle Class
4,Honda,19,Female,861,20755,Middle Class
10,Toyota,45,Male,1393,83281,Upper Middle Class
6,Honda,37,Female,1159,39451,Rich
4,Honda,81,Male,789,87498,Upper Middle Class
10,Toyota,39,Female,1794,62164,Upper Middle Class
5,Toyota,51,Male,1870,78113,Middle Class
3,BMW,95,Male,1149,29974,Rich
4,Toyota,69,Male,1626,73812,Upper Middle Class
3,Chevrolet,31,Male,869,27236,Rich
2,BMW,59,Female,992,77310,Middle Class
8,Toyota,52,Male,1845,51541,Rich
7,BMW,99,Female,1371,27112,Rich
4,Honda,71,Male,1202,48880,Rich
3,Honda,26,Male,675,55333,Rich
7,BMW,28,Female,1503,20516,Middle Class
10,Chevrolet,91,Male,1157,23247,Middle Class
5,Honda,49,Male,1796,12234,Rich
5,Honda,34,Female,1531,98549,Middle Class
2,BMW,23,Female,1473,53433,Upper Middle Class
2,BMW,59,Male,891,12162,Rich
2,Toyota,76,Male,949,87485,Upper Middle Class
8,BMW,54,Male,707,36012,Upper Middle Class
1,Toyota,44,Female,1105,70700,Upper Middle Class
5,Chevrolet,83,Female,1049,47861,Middle Class
2,Chevrolet,95,Female,530,20799,Middle Class
8,Toyota,94,Male,761,10613,Rich
5,Honda,54,Female,1710,44201,Upper Middle Class
10,Honda,19,Male,666,10597,Rich
2,Chevrolet,29,Male,554,52443,Upper Middle Class
9,Chevrolet,37,Male,815,79257,Middle Class
8,Honda,22,Male,1564,63141,Upper Middle Class
8,BMW,28,Female,1179,44528,Middle Class
6,Chevrolet,32,Female,911,33761,Rich
3,Honda,41,Male,1645,57447,Rich
2,Honda,73,Female,1381,37279,Rich
2,BMW,70,Male,611,24310,Upper Middle Class
5,Toyota,85,Female,826,12704,Upper Middle Class
10,Toyota,65,Female,741,65847,Upper Middle Class
1,Chevrolet,52,Male,663,43737,Middle Class
9,Honda,26,Male,1505,65838,Rich
5,Honda,86,Female,642,26037,Middle Class
6,Honda,27,Male,705,57602,Upper Middle Class
9,Chevrolet,90,Female,1184,15492,Upper Middle Class
3,Chevrolet,83,Male,1797,35407,Middle Class
7,Toyota,86,Female,671,99697,Rich
2,Honda,31,Male,1591,30936,Upper Middle Class
6,Chevrolet,23,Female,1692,72160,Upper Middle Class
2,Toyota,79,Male,689,84911,Rich
8,Toyota,66,Female,981,69966,Rich
8,BMW,23,Female,752,12724,Middle Class
3,Honda,67,Female,1055,86445,Upper Middle Class
10,Honda,34,Female,1616,48114,Middle Class
3,BMW,61,Female,1899,85826,Middle Class
6,Toyota,30,Male,827,73957,Rich
7,BMW,93,Female,1008,44005,Middle Class
5,Toyota,57,Female,1062,65061,Rich
9,Honda,37,Male,783,37610,Upper Middle Class
3,Chevrolet,64,Male,1121,29869,Rich
2,Chevrolet,54,Male,594,20426,Middle Class
10,BMW,74,Female,754,67718,Rich
10,BMW,83,Female,1170,79525,Upper Middle Class
3,Toyota,69,Male,634,13504,Upper Middle Class
7,Chevrolet,41,Female,1329,35866,Upper Middle Class
8,BMW,67,Male,1379,99395,Upper Middle Class
3,Honda,34,Male,929,60180,Rich
8,Chevrolet,46,Female,1679,26805,Upper Middle Class
2,Toyota,70,Female,579,99336,Upper Middle Class
8,Honda,77,Male,1444,68289,Rich
2,Chevrolet,24,Female,1137,83604,Rich
1,Chevrolet,88,Female,951,97163,Middle Class
9,BMW,30,Male,541,70548,Upper Middle Class
8,Toyota,59,Male,539,30045,Middle Class
7,Honda,80,Male,1540,56759,Middle Class
9,Chevrolet,95,Male,1287,93242,Rich
8,BMW,90,Male,1878,88000,Rich
8,Chevrolet,37,Male,1223,76484,Rich
2,Toyota,66,Male,1206,28980,Middle Class
3,BMW,87,Female,1902,58220,Rich
7,Chevrolet,23,Male,1008,62391,Upper Middle Class
3,Chevrolet,22,Female,769,17933,Middle Class
2,Chevrolet,97,Female,1576,47380,Middle Class
3,BMW,54,Female,1469,86409,Upper Middle Class
10,Chevrolet,79,Male,575,82454,Rich
3,Toyota,52,Female,841,65482,Upper Middle Class
7,Toyota,35,Female,1122,77117,Upper Middle Class
5,Chevrolet,49,Male,1883,25563,Rich
5,BMW,96,Male,1686,61724,Middle Class
2,Honda,69,Male,992,54266,Upper Middle Class
1,Toyota,49,Male,1691,13741,Middle Class
6,Chevrolet,20,Male,939,72073,Upper Middle Class
2,Honda,82,Male,1322,78243,Upper Middle Class
9,Toyota,51,Female,1844,24517,Upper Middle Class
6,Chevrolet,87,Male,1503,25951,Rich
5,Toyota,36,Male,1099,26237,Rich
8,BMW,50,Male,826,17125,Middle Class
9,BMW,22,Female,573,57048,Upper Middle Class
8,BMW,53,Female,1417,65090,Upper Middle Class
6,Toyota,56,Female,512,33992,Middle Class
8,Toyota,83,Female,1249,19699,Middle Class
10,Honda,91,Female,1076,98589,Upper Middle Class
5,BMW,25,Male,1015,25738,Rich
